team_abbr,year,elevation,lat,lon,team_name
TEX,2024,187.7568,32.74702777777778,97.08402777777778,Texas Rangers
LAA,2024,48.768,32.74702777777778,97.08402777777778,Los Angeles Angels
BAL,2024,39.624,39.28422222222222,76.62188888888888,Baltimore Orioles
DET,2024,181.6608,42.339000000000006,83.04858333333333,Detroit Tigers
BOS,2024,6.096,42.346583333333335,71.09694444444445,Boston Red Sox
CLE,2024,177.39360000000002,41.49633333333333,81.68497222222223,Cleveland Guardians
KCR,2024,228.6,39.05161111111111,94.48002777777778,Kansas City Royals
OAK,2024,12.8016,37.752,122.20052777777778,Oakland Athletics
MIN,2024,247.4976,44.98163888888889,93.2773888888889,Minnesota Twins
TOR,2024,75.2856,43.64122222222222,79.39061111111111,Toronto Blue Jays
SEA,2024,3.048,47.591055555555556,122.33258333333333,Seattle Mariners
TBR,2024,13.4112,27.76813888888889,82.65302777777778,Tampa Bay Rays
CWS,2024,181.6608,41.82936111111111,87.63383333333334,Chicago White Sox
NYY,2024,16.4592,40.82936111111111,73.92611111111111,New York Yankees
SFG,2024,19.2024,37.77833333333333,122.38977777777778,San Francisco Giants
STL,2024,138.684,38.621916666666664,90.1943888888889,St. Louis Cardinals
ARI,2024,329.7936,33.446305555555554,112.06777777777778,Arizona Diamondbacks
PHI,2024,2.7432000000000003,39.90566666666667,75.16691666666667,Philadelphia Phillies
COL,2024,1579.7784,39.75680555555556,104.99388888888889,Colorado Rockies
LAD,2024,81.3816,34.07355555555556,118.24011111111112,Los Angeles Dodgers
MIA,2024,4.572,25.77808333333333,80.22008333333333,Miami Marlins
CIN,2024,208.1784,39.097750000000005,84.50613888888888,Cincinnati Reds
MIL,2024,180.7464,43.028055555555554,87.97130555555556,Milwaukee Brewers
HOU,2024,11.5824,29.75713888888889,95.35558333333333,Houston Astros
SDP,2024,3.9624,32.70727777777778,117.15708333333333,San Diego Padres
PIT,2024,226.4664,40.44702777777778,80.00597222222223,Pittsburgh Pirates
WSH,2024,7.62,38.872527777777776,77.00752777777778,Washington Nationals
NYM,2024,16.4592,40.75661111111111,73.84622222222222,New York Mets
ATL,2024,320.04,33.89086111111111,84.46744444444445,Atlanta Braves
CHC,2024,181.6608,41.948138888888884,87.65577777777779,Chicago Cubs
TEX,2025,187.7568,32.74702777777778,97.08402777777778,Texas Rangers
LAA,2025,48.768,32.74702777777778,97.08402777777778,Los Angeles Angels
BAL,2025,39.624,39.28422222222222,76.62188888888888,Baltimore Orioles
DET,2025,181.6608,42.339000000000006,83.04858333333333,Detroit Tigers
BOS,2025,6.096,42.346583333333335,71.09694444444445,Boston Red Sox
CLE,2025,177.39360000000002,41.49633333333333,81.68497222222223,Cleveland Guardians
KCR,2025,228.6,39.05161111111111,94.48002777777778,Kansas City Royals
ATH,2025,26.0,37.752,122.20052777777778,Athletics
MIN,2025,247.4976,44.98163888888889,93.2773888888889,Minnesota Twins
TOR,2025,75.2856,43.64122222222222,79.39061111111111,Toronto Blue Jays
SEA,2025,3.048,47.591055555555556,122.33258333333333,Seattle Mariners
TBR,2025,13.4112,27.980199,82.506826,Tampa Bay Rays
CWS,2025,181.6608,41.82936111111111,87.63383333333334,Chicago White Sox
NYY,2025,16.4592,40.82936111111111,73.92611111111111,New York Yankees
SFG,2025,19.2024,38.580426,121.513650,San Francisco Giants
STL,2025,138.684,38.621916666666664,90.1943888888889,St. Louis Cardinals
ARI,2025,329.7936,33.446305555555554,112.06777777777778,Arizona Diamondbacks
PHI,2025,2.7432000000000003,39.90566666666667,75.16691666666667,Philadelphia Phillies
COL,2025,1579.7784,39.75680555555556,104.99388888888889,Colorado Rockies
LAD,2025,81.3816,34.07355555555556,118.24011111111112,Los Angeles Dodgers
MIA,2025,4.572,25.77808333333333,80.22008333333333,Miami Marlins
CIN,2025,208.1784,39.097750000000005,84.50613888888888,Cincinnati Reds
MIL,2025,180.7464,43.028055555555554,87.97130555555556,Milwaukee Brewers
HOU,2025,11.5824,29.75713888888889,95.35558333333333,Houston Astros
SDP,2025,3.9624,32.70727777777778,117.15708333333333,San Diego Padres
PIT,2025,226.4664,40.44702777777778,80.00597222222223,Pittsburgh Pirates
WSH,2025,7.62,38.872527777777776,77.00752777777778,Washington Nationals
NYM,2025,16.4592,40.75661111111111,73.84622222222222,New York Mets
ATL,2025,320.04,33.89086111111111,84.46744444444445,Atlanta Braves
CHC,2025,181.6608,41.948138888888884,87.65577777777779,Chicago Cubs
